epoch,label_percent,labeled_samples,unlabeled_samples,loss,sup_loss,lv_loss,dice,iou,val_model_source,val_loss,val_sup_loss,val_lv_loss,val_dice,val_iou,val_dice_student,val_iou_student,val_dice_ema,val_iou_ema,train_pseudo_valid_ratio,epi_bank_size
61,100.0,5716,0,0.09604908979638328,0.09604908979638328,0.0,0.8791335870822271,0.7990865409374237,ema,0.2151256152555774,0.2151256152555774,0.0,0.8255666107710965,0.7318761224426366,0.8174523652392388,0.7211535123781027,0.8255666107710965,0.7318761224426366,0.0,0
62,100.0,5716,0,0.0946105074283131,0.0946105074283131,0.0,0.8891129295031229,0.8113491435845693,ema,0.21344461551156388,0.21344461551156388,0.0,0.8263390961020372,0.7328326351330612,0.8143064944455471,0.7189291087041125,0.8263390961020372,0.7328326351330612,0.0,0
63,100.0,5716,0,0.09276862330110379,0.09276862330110379,0.0,0.8796491622924805,0.797721857825915,ema,0.21238195073404373,0.21238195073404373,0.0,0.8268745832713523,0.7334821281773465,0.8211876554786116,0.7248976235209519,0.8268745832713523,0.7334821281773465,0.0,0
64,100.0,5716,0,0.09060603338579892,0.09060603338579892,0.0,0.881306047240893,0.8037647604942322,ema,0.21175097347223484,0.21175097347223484,0.0,0.8275002241551751,0.734118620359956,0.8161820919885762,0.7192411992915282,0.8275002241551751,0.734118620359956,0.0,0
65,100.0,5716,0,0.08845741122794551,0.08845741122794551,0.0,0.8758971889813741,0.7954598367214203,ema,0.21144759187838513,0.21144759187838513,0.0,0.8279075033602972,0.7346307146874569,0.8220457288666653,0.7264279233900461,0.8279075033602972,0.7346307146874569,0.0,0
66,100.0,5716,0,0.08537462395329715,0.08537462395329715,0.0,0.8878467927376429,0.8097037275632223,ema,0.21161678491813307,0.21161678491813307,0.0,0.8281152942866358,0.7348083618055948,0.8193625842799166,0.723821496404577,0.8281152942866358,0.7348083618055948,0.0,0
67,100.0,5716,0,0.08422989693766865,0.08422989693766865,0.0,0.8926190982262293,0.8177795360485712,ema,0.21202523219076547,0.21202523219076547,0.0,0.8280494630211629,0.7347472613720397,0.8219008037808727,0.7256778764340993,0.8280494630211629,0.7347472613720397,0.0,0
68,100.0,5716,0,0.08174545492706352,0.08174545492706352,0.0,0.8896655490001043,0.812972903251648,ema,0.2125657914171192,0.2125657914171192,0.0,0.8278943862090835,0.734633324236366,0.8148675221008718,0.7187571943098219,0.8278943862090835,0.734633324236366,0.0,0
69,100.0,5716,0,0.08011597873611823,0.08011597873611823,0.0,0.9089591056108475,0.8407604644695917,ema,0.21302987194044595,0.21302987194044595,0.0,0.8280081610899859,0.7347929322527704,0.8223499939773699,0.726741660216874,0.8280081610899859,0.7347929322527704,0.0,0
70,100.0,5716,0,0.07870986131566197,0.07870986131566197,0.0,0.9020325591166815,0.8310711085796356,ema,0.21352433870521104,0.21352433870521104,0.0,0.8281501577065656,0.7349335608405613,0.823364925643128,0.72763661624169,0.8281501577065656,0.7349335608405613,0.0,0
71,100.0,5716,0,0.07756968067345006,0.07756968067345006,0.0,0.9026078581809998,0.8338099966446558,ema,0.2143103783159009,0.2143103783159009,0.0,0.8283298619148863,0.7350960664185217,0.8276655645617411,0.733402012110257,0.8283298619148863,0.7350960664185217,0.0,0
72,100.0,5716,0,0.07627589174405823,0.07627589174405823,0.0,0.8941612044970194,0.8196384757757187,ema,0.21498603400356542,0.21498603400356542,0.0,0.8283462510232411,0.7350798252581549,0.8146795595835105,0.7178004429088429,0.8283462510232411,0.7350798252581549,0.0,0
73,100.0,5716,0,0.07484734959525768,0.07484734959525768,0.0,0.9097891002893448,0.8421500325202942,ema,0.21587414393022897,0.21587414393022897,0.0,0.8283067857409958,0.7349987669037805,0.8212206528852501,0.725255656943111,0.8283067857409958,0.7349987669037805,0.0,0
74,100.0,5716,0,0.07379171805841296,0.07379171805841296,0.0,0.9068541924158732,0.8379137019316355,ema,0.21644693508775523,0.21644693508775523,0.0,0.8282394037537011,0.7348888714552092,0.8226272260667228,0.7283001665972262,0.8282394037537011,0.7348888714552092,0.0,0
75,100.0,5716,0,0.07224168029077892,0.07224168029077892,0.0,0.9114749928315481,0.8446401456991831,ema,0.2173761393303968,0.2173761393303968,0.0,0.827919416364212,0.7345532540927991,0.8214435818480644,0.7257404693195751,0.827919416364212,0.7345532540927991,0.0,0
76,100.0,5716,0,0.07088032321140753,0.07088032321140753,0.0,0.9131300946076711,0.8483691414197286,ema,0.21843352779339376,0.21843352779339376,0.0,0.8274998317822616,0.7341384320012166,0.8226502891017308,0.7276882406629158,0.8274998317822616,0.7341384320012166,0.0,0
77,100.0,5716,0,0.0693863819056716,0.0693863819056716,0.0,0.9134368548790613,0.8472167501846949,ema,0.2195322853522838,0.2195322853522838,0.0,0.8272265499500732,0.7338399405743044,0.8201606587315874,0.7244315849808732,0.8272265499500732,0.7338399405743044,0.0,0
