epoch,label_percent,labeled_samples,unlabeled_samples,loss,sup_loss,lv_loss,dice,iou,val_loss,val_sup_loss,val_lv_loss,val_dice,val_iou,train_pseudo_valid_ratio,epi_bank_size
1,50.0,1092,1091,0.8966534546443394,0.8966534546443394,0.0,0.11623893429835637,0.06817434976498286,0.9657893356154946,0.9657893356154946,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,352
2,50.0,1092,1091,0.7709263818604606,0.7709263818604606,0.0,0.15252371629079184,0.09271875768899918,0.9638615601203021,0.9638615601203021,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,593
3,50.0,1092,1091,0.7083156279155186,0.7083156279155186,0.0,0.19717010855674744,0.12832092493772507,0.9599151155527901,0.9599151155527901,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,738
4,50.0,1092,1091,0.6820763434682574,0.6820763434682574,0.0,0.28259649872779846,0.1866753250360489,0.9541617947466233,0.9541617947466233,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,846
5,50.0,1092,1091,0.6576756528445653,0.6576756528445653,0.0,0.3681576649347941,0.2510429918766022,0.947926170685712,0.947926170685712,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,917
6,50.0,1092,1091,0.6328082544463022,0.6328082544463022,0.0,0.4206080138683319,0.2914835413297017,0.9413331326316384,0.9413331326316384,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,967
7,50.0,1092,1091,0.6078441858291626,0.6078441858291626,0.0,0.3820877472559611,0.2745215917627017,0.9346079405616311,0.9346079405616311,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,1006
8,50.0,1092,1091,0.5863889183316912,0.5863889183316912,0.0,0.40238407254219055,0.29162778457005817,0.926407046177808,0.926407046177808,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,1036
9,50.0,1092,1091,0.5550330204623086,0.5550330204623086,0.0,0.5767227609952291,0.4435191849867503,0.9178281005691079,0.9178281005691079,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,1044
10,50.0,1092,1091,0.5187422871589661,0.5187422871589661,0.0,0.6102064251899719,0.4748997489611308,0.9108293407103595,0.9108293407103595,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,1058
11,50.0,1092,1091,0.48704909001077923,0.48704909001077923,0.0,0.606308102607727,0.463099737962087,0.9035297071232515,0.9035297071232515,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,1073
12,50.0,1092,1091,0.46308237654822215,0.46308237654822215,0.0,0.6388424436251322,0.4952710171540578,0.8944052562994116,0.8944052562994116,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,1076
13,50.0,1092,1091,0.4193512524877276,0.4193512524877276,0.0,0.5206318000952402,0.41098904609680176,0.8857486072708579,0.8857486072708579,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,1082
14,50.0,1092,1091,0.3879369190761021,0.3879369190761021,0.0,0.6906865239143372,0.5610938966274261,0.8803970007335439,0.8803970007335439,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,1085
15,50.0,1092,1091,0.35394730057035173,0.35394730057035173,0.0,0.6165439486503601,0.4846118787924449,0.880194811259999,0.880194811259999,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,1088
16,50.0,1092,1091,0.3161384097167424,0.3161384097167424,0.0,0.5486258467038473,0.423278013865153,0.8788153844721177,0.8788153844721177,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,1090
17,50.0,1092,1091,0.2753350679363523,0.2753350679363523,0.0,0.6764596303304037,0.5598818262418112,0.875720153836643,0.875720153836643,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,1090
18,50.0,1092,1091,0.2577997429030282,0.2577997429030282,0.0,0.5554958383242289,0.4396023452281952,0.871593713760376,0.871593713760376,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,1090
19,50.0,1092,1091,0.24282391582216536,0.24282391582216536,0.0,0.6850651701291403,0.5590429504712423,0.8640987662708058,0.8640987662708058,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,1090
20,50.0,1092,1091,0.21778041677815574,0.21778041677815574,0.0,0.6628658771514893,0.5284342666467031,0.852301860556883,0.852301860556883,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,1091
21,50.0,1092,1091,0.1994318072284971,0.1994318072284971,0.0,0.7311622699101766,0.6092469294865926,0.84100021684871,0.84100021684871,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,1091
22,50.0,1092,1091,0.18662336553846087,0.18662336553846087,0.0,0.6542606155077616,0.5240615208943685,0.8309628788162681,0.8309628788162681,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,1091
23,50.0,1092,1091,0.17971811848027366,0.17971811848027366,0.0,0.7160752018292745,0.6008946696917216,0.8204836950582617,0.8204836950582617,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,1091
24,50.0,1092,1091,0.167523826445852,0.167523826445852,0.0,0.6404468218485514,0.5289381345113119,0.8081551579868093,0.8081551579868093,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,1091
25,50.0,1092,1091,0.15814835046018874,0.15814835046018874,0.0,0.7425464590390524,0.6245837410291036,0.7970667726853314,0.7970667726853314,0.0,8.628007876781646e-09,8.628007876781646e-09,0.0,1091
