epoch,label_percent,labeled_samples,unlabeled_samples,loss,sup_loss,lv_loss,dice,iou,val_model_source,val_loss,val_sup_loss,val_lv_loss,val_dice,val_iou,val_dice_student,val_iou_student,val_dice_ema,val_iou_ema,train_pseudo_valid_ratio,epi_bank_size
61,50.0,2858,2858,0.10198079389002589,0.10050653616587321,0.0014742578224589428,0.8596307436625162,0.7708267271518707,ema,0.22038959730038532,0.22038959730038532,0.0,0.8150450079235854,0.7192153168191769,0.804897827648299,0.7044981296784899,0.8150450079235854,0.7192153168191769,0.3278469986385769,960
62,50.0,2858,2858,0.10505185979935858,0.10347834411594603,0.0015735156704775161,0.8720884819825491,0.7885262767473856,ema,0.21983339998837198,0.21983339998837198,0.0,0.8154028236574022,0.7196701855155619,0.8039122080369125,0.7052093161161835,0.8154028236574022,0.7196701855155619,0.32774548994170294,1605
63,50.0,2858,2858,0.10584634045759837,0.10413159314129088,0.0017147471041729053,0.8790241877237955,0.7991292973359426,ema,0.2191544592463945,0.2191544592463945,0.0,0.8156480092615244,0.7199451219710209,0.8094213516083191,0.7122555322543652,0.8156480092615244,0.7199451219710209,0.32766393025716145,2007
64,50.0,2858,2858,0.09948462289240625,0.0981721961663829,0.001312426570802927,0.8756258885065714,0.7941669921080271,ema,0.21884565966749958,0.21884565966749958,0.0,0.81578223504246,0.7201609139762782,0.8018925192057461,0.7037617778594549,0.81578223504246,0.7201609139762782,0.3277492172188229,2281
65,50.0,2858,2858,0.0963335326148404,0.09518595296475622,0.0011475795582454238,0.8746639788150787,0.7933210631211599,ema,0.2187569330546137,0.2187569330546137,0.0,0.8161147940901295,0.7205612771656231,0.8045023781507478,0.7068130637566638,0.8161147940901295,0.7205612771656231,0.3277693827946981,2490
66,50.0,2858,2858,0.09296064120199946,0.09188188595904244,0.0010787554111124742,0.8874846001466116,0.8128938774267832,ema,0.21872624239778085,0.21872624239778085,0.0,0.8163352514414457,0.7208807435879931,0.8093684837482792,0.7105249843453927,0.8163352514414457,0.7208807435879931,0.32773949570126004,2610
67,50.0,2858,2858,0.09164423247178395,0.09051628907521565,0.0011279432775659693,0.8703712125619253,0.7887096703052521,ema,0.21888175982124244,0.21888175982124244,0.0,0.8163873019795721,0.7210155495652959,0.807114173308213,0.7097012363921686,0.8163873019795721,0.7210155495652959,0.32772988345887927,2684
68,50.0,2858,2858,0.08850676740209261,0.08747825250029564,0.0010285149871682127,0.8919929265975952,0.8151834011077881,ema,0.21923309922260034,0.21923309922260034,0.0,0.8164323553745357,0.72113048241971,0.8080111596866285,0.7113864352604657,0.8164323553745357,0.72113048241971,0.32772346867455376,2758
69,50.0,2858,2858,0.08746001430683666,0.08649507098727756,0.0009649431746866968,0.8952642281850179,0.8201941847801208,ema,0.21954473936532742,0.21954473936532742,0.0,0.8163442032332183,0.7211608299848664,0.8067022660881427,0.7106303598098275,0.8163442032332183,0.7211608299848664,0.3278938637839423,2784
70,50.0,2858,2858,0.08623761360843976,0.08526836079027918,0.0009692528996513122,0.9033439954121908,0.8309662739435831,ema,0.21990139082731108,0.21990139082731108,0.0,0.8162775138944408,0.7211492640560035,0.8126397621723386,0.7156403028856548,0.8162775138944408,0.7211492640560035,0.3278973380724589,2813
71,50.0,2858,2858,0.08455005536476771,0.083643522610267,0.0009065325979867743,0.9047571221987406,0.8354220887025198,ema,0.22040554384738104,0.22040554384738104,0.0,0.8161466729816146,0.7211365707693107,0.8134911649705981,0.7170284297017471,0.8161466729816146,0.7211365707693107,0.32795620494418676,2823
72,50.0,2858,2858,0.08148371014330122,0.08067089344064395,0.0008128167039507793,0.887119988600413,0.8097878495852152,ema,0.2208859538222794,0.2208859538222794,0.0,0.8161058353743743,0.7211645069949856,0.8100973880316011,0.7140374506495898,0.8161058353743743,0.7211645069949856,0.328083078066508,2837
73,50.0,2858,2858,0.0805754556424088,0.0797315202653408,0.0008439353253278468,0.9149492879708608,0.8515084584554037,ema,0.22146237825621584,0.22146237825621584,0.0,0.8159897503025303,0.7211171917935365,0.8112726336680066,0.7147708874719805,0.8159897503025303,0.7211171917935365,0.328039648797777,2841
